"SMRACAA_AREA","SMRACAA_TERM_CODE_EFF","SMRACAA_ACTIVITY_DATE","SMRACAA_TRANSFER_IND","SMRACAA_SEQNO","SMRACAA_SPLIT_COURSE_IND","SMRACAA_CONNECTOR_REQ","SMRACAA_CONNECTOR_MAX","SMRACAA_CONNECTOR_TRANSFER","SMRACAA_CNT_IN_GPA_IND","SMRACAA_SET","SMRACAA_SUBSET","SMRACAA_RULE","SMRACAA_SUBJ_CODE","SMRACAA_CRSE_NUMB_LOW","SMRACAA_CRSE_NUMB_HIGH","SMRACAA_ATTR_CODE","SMRACAA_ATTS_CODE","SMRACAA_CAMP_CODE","SMRACAA_COLL_CODE","SMRACAA_DEPT_CODE","SMRACAA_YEAR_RULE","SMRACAA_TERM_CODE_FROM","SMRACAA_TERM_CODE_TO","SMRACAA_REQ_CREDITS","SMRACAA_REQ_COURSES","SMRACAA_MAX_CREDITS","SMRACAA_MAX_COURSES","SMRACAA_MIN_CRED_CRSE","SMRACAA_MAX_CRED_CRSE","SMRACAA_COMPL_CREDITS","SMRACAA_COMPL_COURSES","SMRACAA_GRDE_CODE_MIN","SMRACAA_MAX_CREDITS_TRANSFER","SMRACAA_MAX_COURSES_TRANSFER","SMRACAA_END_FUNCTION","SMRACAA_CATALOG_IND","SMRACAA_TESC_CODE","SMRACAA_MIN_VALUE","SMRACAA_MAX_VALUE","SMRACAA_CONCURRENCY_IND","SMRACAA_SURROGATE_ID","SMRACAA_VERSION","SMRACAA_USER_ID","SMRACAA_DATA_ORIGIN","SMRACAA_VPDI_CODE"
P-CSC 1070,200880,02/25/2009,Y,1,Y,N,N,N,Y,A10,100,,MATH,1010,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,990,0,,,
P-CSC 1070,200880,02/25/2009,Y,2,Y,N,N,N,Y,A10,200,,MATH,1130,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,270,0,,,
P-CSC 1070,200880,02/25/2009,Y,3,Y,N,N,N,Y,A10,300,,MATH,1530,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,4175,0,,,
P-CSC 1070,200880,02/25/2009,Y,4,Y,N,N,N,Y,A10,400,,MATH,1710,1720,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,4176,0,,,
P-CSC 1070,200880,02/25/2009,Y,5,Y,N,N,N,Y,A10,500,,MATH,1830,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,4177,0,,,
P-CSC 1070,200880,02/25/2009,Y,6,Y,N,N,N,Y,A10,600,,MATH,1910,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,4178,0,,,
P-CSC 1200,201380,06/17/2013,Y,4,Y,N,N,N,Y,A10,400,,MATH,1730,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,4382,0,,,
P-CSC 1200,201380,03/25/2013,Y,1,Y,N,N,N,Y,A10,100,,,,,,,,,,,,,,,,,,,,,,,,,N,A02,25,36,N,4379,0,,,
P-CSC 1200,201380,03/25/2013,Y,2,Y,N,N,N,Y,A10,200,,MATH,1710,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,4380,0,,,
P-CSC 1200,201380,06/17/2013,Y,3,Y,N,N,N,Y,A10,300,,MATH,1720,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,4381,0,,,
P-CSC 1200,201380,06/17/2013,Y,5,Y,N,N,N,Y,A10,500,,MATH,1910,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,4383,0,,,
P-CSC 1300,201910,10/22/2018,Y,1,Y,N,N,N,Y,A10,100,,CSC,1200,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,11581,1,,,
P-CSC 1300,201910,11/14/2018,Y,3,Y,N,N,N,Y,A10,300,,MATH,1910,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,11583,1,,,
P-CSC 1300,201910,10/09/2018,Y,2,Y,N,N,N,Y,A10,200,,MATH,1845,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,11582,1,,,
P-CSC 1310,202080,03/31/2020 1:45:28 PM,Y,3,Y,N,N,N,Y,A10,200,,CSC,2101,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,13301,0,,,
P-CSC 1310,202080,03/31/2020 1:45:28 PM,Y,2,Y,N,N,N,Y,A10,200,,CSC,2100,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,13300,0,,,
P-CSC 1310,202080,03/31/2020 1:45:28 PM,Y,1,Y,N,N,N,Y,A10,100,,CSC,1300,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,13299,0,,,
P-CSC 1310,202080,03/31/2020 1:46:06 PM,Y,4,Y,N,N,N,Y,A20,100,,MATH,1910,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,13302,0,,,
P-CSC 1610,201010,09/30/2009,Y,1,Y,N,N,N,Y,A10,200,,MATH,1710,1730,,,,,,,,,,,,,,,,,D,,,,N,,,,N,5365,0,,,
P-CSC 1610,201010,09/30/2009,Y,3,Y,N,N,N,Y,A10,350,,MATH,1910,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,5367,0,,,
P-CSC 1610,201010,09/30/2009,Y,0,Y,N,N,N,Y,A10,150,,MATH,1130,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,5364,0,,,
P-CSC 1610,201010,09/30/2009,Y,4,Y,N,N,N,Y,A10,100,,,,,,,,,,,,,,,,,,,,,,,,,N,A02,25,36,N,5368,0,,,
P-CSC 1610,201010,09/30/2009,Y,2,Y,N,N,N,Y,A10,250,,MATH,1830,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,5366,0,,,
P-CSC 2010,201210,01/03/2012 3:55:17 PM,Y,3,Y,N,N,N,Y,A10,300,,BE,121,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,6245,0,,,
P-CSC 2010,201210,01/03/2012,Y,1,Y,N,N,N,Y,A10,100,,CSC,2001,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6243,0,,,
P-CSC 2010,201210,01/03/2012 3:55:17 PM,Y,2,Y,N,N,N,Y,A10,200,,ENGR,1210,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,6244,0,,,
P-CSC 2011,201210,01/03/2012 3:56:52 PM,Y,2,Y,N,N,N,Y,A10,200,,ENGR,1210,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,6189,0,,,
P-CSC 2011,201210,01/03/2012,Y,1,Y,N,N,N,Y,A10,100,,CSC,2001,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6188,0,,,
P-CSC 2011,201210,01/03/2012 3:56:52 PM,Y,3,Y,N,N,N,Y,A10,210,,BE,121,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,6246,0,,,
P-CSC 2020,200880,07/17/2007,Y,1,Y,N,N,N,Y,A10,100,,CSC,2010,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,32,0,,,
P-CSC 2020,200880,07/17/2007,Y,2,Y,N,N,N,Y,A10,100,,CSC,2011,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,36,0,,,
