"SMRACAA_AREA","SMRACAA_TERM_CODE_EFF","SMRACAA_ACTIVITY_DATE","SMRACAA_TRANSFER_IND","SMRACAA_SEQNO","SMRACAA_SPLIT_COURSE_IND","SMRACAA_CONNECTOR_REQ","SMRACAA_CONNECTOR_MAX","SMRACAA_CONNECTOR_TRANSFER","SMRACAA_CNT_IN_GPA_IND","SMRACAA_SET","SMRACAA_SUBSET","SMRACAA_RULE","SMRACAA_SUBJ_CODE","SMRACAA_CRSE_NUMB_LOW","SMRACAA_CRSE_NUMB_HIGH","SMRACAA_ATTR_CODE","SMRACAA_ATTS_CODE","SMRACAA_CAMP_CODE","SMRACAA_COLL_CODE","SMRACAA_DEPT_CODE","SMRACAA_YEAR_RULE","SMRACAA_TERM_CODE_FROM","SMRACAA_TERM_CODE_TO","SMRACAA_REQ_CREDITS","SMRACAA_REQ_COURSES","SMRACAA_MAX_CREDITS","SMRACAA_MAX_COURSES","SMRACAA_MIN_CRED_CRSE","SMRACAA_MAX_CRED_CRSE","SMRACAA_COMPL_CREDITS","SMRACAA_COMPL_COURSES","SMRACAA_GRDE_CODE_MIN","SMRACAA_MAX_CREDITS_TRANSFER","SMRACAA_MAX_COURSES_TRANSFER","SMRACAA_END_FUNCTION","SMRACAA_CATALOG_IND","SMRACAA_TESC_CODE","SMRACAA_MIN_VALUE","SMRACAA_MAX_VALUE","SMRACAA_CONCURRENCY_IND","SMRACAA_SURROGATE_ID","SMRACAA_VERSION","SMRACAA_USER_ID","SMRACAA_DATA_ORIGIN","SMRACAA_VPDI_CODE"
P-ENGL1010,202180,08/18/2021 3:05:27 PM,Y,2,Y,N,N,N,Y,A10,200,,DSPW,0800,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15468,0,,,
P-ENGL1010,202180,08/18/2021 3:05:27 PM,Y,4,Y,N,N,N,Y,A10,300,,,,,,,,,,,,,,,,,,,,,,,,,N,DSPW,4,,N,15469,0,,,
P-ENGL1010,202180,08/18/2021 3:05:27 PM,Y,6,Y,N,N,N,Y,A10,400,,,,,,,,,,,,,,,,,,,,,,,,,N,A01,18,36,N,15470,0,,,
P-ENGL1010,202180,08/18/2021 3:05:27 PM,Y,10,Y,N,N,N,Y,A10,500,,,,,,,,,,,,,,,,,,,,,,,,,N,S07,390,450,N,15471,0,,,
P-ENGL1010,202180,08/18/2021 3:06:04 PM,Y,11,Y,N,N,N,Y,A10,100,,UNIV,1100,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,15472,1,,,
P-ENGL1020,200880,10/03/2008,Y,1,Y,N,N,N,Y,A10,100,,ENGL,1010,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,131,0,,,
P-ENGL2030,201280,07/16/2012,Y,1,Y,N,N,N,Y,A10,100,,ENGL,1010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,5697,0,,,
P-ENGL2030,201280,07/16/2012,Y,2,Y,N,N,N,Y,A10,100,,ENGL,1020,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,5698,0,,,
P-ENGL2045,201880,04/02/2018,Y,2,Y,N,N,N,Y,A10,100,,ENGL,1020,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,11231,0,,,
P-ENGL2045,201880,04/02/2018,Y,1,Y,N,N,N,Y,A10,100,,ENGL,1010,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,11230,0,,,
